conv_parameters,occurrences,models
1 432 14 14 432 3 3 1 1 1 1 1 1 1 1 9 0 0,14,regnet_x_3_2gf
1 3 224 224 64 7 7 3 3 3 3 2 2 1 1 1 0 0,14,resnet34 resnet101 resnext101_64x4d resnext50_32x4d resnet18 wide_resnet50_2 densenet201 wide_resnet101_2 resnext101_32x8d resnet152 resnet50 densenet121 googlenet densenet169
1 64 1 1 1536 1 1 0 0 0 0 1 1 1 1 1 0 1,14,efficientnet_v2_s
1 256 56 56 256 3 3 1 1 1 1 1 1 1 1 1 0 1,14,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 vgg16_bn vgg16 vgg19
1 480 1 1 20 1 1 0 0 0 0 1 1 1 1 1 0 1,14,efficientnet_b7 efficientnet_b1 efficientnet_b0
1 512 28 28 512 3 3 1 1 1 1 1 1 1 1 1 0 1,14,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 vgg16_bn vgg16 vgg19
1 448 28 28 448 1 1 0 0 0 0 1 1 1 1 1 0 0,14,regnet_y_8gf regnet_y_16gf
1 288 14 14 288 1 1 0 0 0 0 1 1 1 1 1 0 0,13,regnet_x_800mf
1 960 24 24 160 1 1 0 0 0 0 1 1 1 1 1 0 0,13,efficientnet_b4 efficientnet_v2_s
1 672 28 28 672 1 1 0 0 0 0 1 1 1 1 1 0 0,13,regnet_x_32gf
1 160 14 14 160 1 1 0 0 0 0 1 1 1 1 1 0 0,13,regnet_x_400mf
1 28 1 1 672 1 1 0 0 0 0 1 1 1 1 1 0 1,13,efficientnet_b1 efficientnet_b4 efficientnet_b0
1 1056 30 30 1056 3 3 1 1 1 1 1 1 1 1 1056 0 0,13,efficientnet_v2_m
1 672 1 1 28 1 1 0 0 0 0 1 1 1 1 1 0 1,13,efficientnet_b1 efficientnet_b4 efficientnet_b0
1 384 19 19 2304 1 1 0 0 0 0 1 1 1 1 1 0 0,13,efficientnet_b7
1 1056 30 30 176 1 1 0 0 0 0 1 1 1 1 1 0 0,13,efficientnet_v2_m
1 120 1 1 32 1 1 0 0 0 0 1 1 1 1 1 0 1,13,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large mobilenet_v3_small fasterrcnn_mobilenet_v3_large_320_fpn
1 512 28 28 128 1 1 0 0 0 0 1 1 1 1 1 0 0,13,resnet152 resnet50 resnet101
1 288 1 1 12 1 1 0 0 0 0 1 1 1 1 1 0 1,13,efficientnet_b7 efficientnet_b3 efficientnet_b2
1 12 1 1 288 1 1 0 0 0 0 1 1 1 1 1 0 1,13,efficientnet_b7 efficientnet_b3 efficientnet_b2
1 1056 48 48 1056 1 1 0 0 0 0 1 1 1 1 1 0 0,13,regnet_y_128gf
1 32 1 1 120 1 1 0 0 0 0 1 1 1 1 1 0 1,13,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large mobilenet_v3_small fasterrcnn_mobilenet_v3_large_320_fpn
1 192 28 28 192 1 1 0 0 0 0 1 1 1 1 1 0 0,12,densenet161 regnet_x_3_2gf
1 896 14 14 896 3 3 1 1 1 1 1 1 1 1 7 0 0,12,regnet_x_16gf
