ID,Image batch,Image channel,Image height,Image width,Output depth,Output height,Output width,Filter height,Filter width,Padding top,Padding bottom,Padding left,Padding right,Stride height,Stride width,Dilation height,Dilation width,Grouped
969,1,256,11,11,512,6,6,3,3,1,1,1,1,2,2,1,1,1
970,1,512,6,6,512,6,6,3,3,1,1,1,1,1,1,1,1,1
971,1,128,44,44,128,22,22,3,3,1,1,1,1,2,2,1,1,1
972,1,256,22,22,256,11,11,3,3,1,1,1,1,2,2,1,1,1
973,1,512,11,11,512,6,6,3,3,1,1,1,1,2,2,1,1,1
974,1,256,32,32,256,32,32,3,3,1,1,1,1,1,1,1,1,1
975,1,512,16,16,512,16,16,3,3,1,1,1,1,1,1,1,1,1
976,1,40,144,144,40,144,144,3,3,1,1,1,1,1,1,1,1,1
977,1,40,144,144,80,144,144,3,3,1,1,1,1,1,1,1,1,1
978,1,80,72,72,80,72,72,3,3,1,1,1,1,1,1,1,1,1
979,1,160,72,72,160,72,72,3,3,1,1,1,1,1,1,1,1,1
980,1,160,36,36,160,36,36,3,3,1,1,1,1,1,1,1,1,1
981,1,320,36,36,320,36,36,3,3,1,1,1,1,1,1,1,1,1
982,1,320,18,18,320,18,18,3,3,1,1,1,1,1,1,1,1,1
983,1,640,18,18,640,18,18,3,3,1,1,1,1,1,1,1,1,1
984,1,640,9,9,640,9,9,3,3,1,1,1,1,1,1,1,1,1
985,1,3,384,384,48,192,192,3,3,1,1,1,1,2,2,1,1,1
986,1,48,192,192,48,192,192,3,3,1,1,1,1,1,1,1,1,1
987,1,48,192,192,96,192,192,3,3,1,1,1,1,1,1,1,1,1
988,1,96,96,96,96,96,96,3,3,1,1,1,1,1,1,1,1,1
989,1,192,96,96,192,96,96,3,3,1,1,1,1,1,1,1,1,1
990,1,192,48,48,192,48,48,3,3,1,1,1,1,1,1,1,1,1
991,1,384,48,48,384,48,48,3,3,1,1,1,1,1,1,1,1,1
992,1,384,24,24,384,24,24,3,3,1,1,1,1,1,1,1,1,1
993,1,768,24,24,768,24,24,3,3,1,1,1,1,1,1,1,1,1
994,1,768,12,12,768,12,12,3,3,1,1,1,1,1,1,1,1,1
995,1,64,224,224,64,224,224,3,3,1,1,1,1,1,1,1,1,1
996,1,64,224,224,128,224,224,3,3,1,1,1,1,1,1,1,1,1
997,1,256,112,112,256,112,112,3,3,1,1,1,1,1,1,1,1,1
998,1,256,56,56,256,56,56,3,3,1,1,1,1,1,1,1,1,1
999,1,512,56,56,512,56,56,3,3,1,1,1,1,1,1,1,1,1
1000,1,512,28,28,512,28,28,3,3,1,1,1,1,1,1,1,1,1
